tag_rifle.ak,AK47u
tag_door.hinged.toptier,Armored Metal Door
tag_mask.balaclava,Balaclava
tag_mask.bandana,Bandana
tag_hat.beenie,Beenie
tag_rifle.bolt,Bolt Rifle
tag_bone.club,Bone Club
tag_knife.bone,Bone Knife
tag_hat.boonie,Boonie
tag_shoes.boots,Boots
tag_attire.hide.boots,Boots
tag_bucket.helmet,Bucket Helmet
tag_burlap.gloves,Burlap Gloves
tag_burlap.headwrap,Burlap Headwrap
tag_burlap.shirt,Burlap Shirt
tag_burlap.shoes,Burlap Shoes
tag_burlap.trousers,Burlap Trousers
tag_hat.cap,Cap
tag_coffeecan.helmet,Coffeecan Helmet
tag_shirt.collared,Collared Shirt
tag_barricade.concrete,Concrete Barricade
tag_crossbow,Crossbow
tag_deer.skull.mask,Deer Skull Mask
tag_shotgun.double,Double Barrel Shotgun
tag_grenade.f1,Grenade
tag_fun.guitar,Guitar
tag_hammer,Hammer
tag_hatchet,Hatchet
tag_attire.hide.helterneck,Hide Halterneck
tag_attire.hide.pants,Hide Pants
tag_attire.hide.poncho,Hide Poncho
tag_attire.hide.skirt,Hide Skirt
tag_hoodie,Hoodie
tag_jacket,Jacket
tag_box.wooden.large,Large Wooden Box
tag_tshirt.long,Long TShirt
tag_longsword,Longsword
tag_metal.facemask,Metal Facemask
tag_metal.plate.torso,Metal Torso Plate
tag_hat.miner,Miner's Hat
tag_smg.mp5,Mp5
tag_pants,Pants
tag_shotgun.pump,Pump Shotgun
tag_target.reactive,Reactive Sign
tag_pistol.revolver,Revolver
tag_riot.helmet,Rifle Helmet
tag_roadsign.jacket,Roadsign Jacket
tag_roadsign.kilt,Roadsign Kilt
tag_rock,Rock
tag_rocket.launcher,Rocket Launcher
tag_icepick.salvaged,Salvaged Icepick
tag_salvaged.sword,Salvaged Sword
tag_barricade.sandbags,Sandbag Barricade
tag_explosive.satchel,Satchel Explosives
tag_pistol.semiauto,Semi Auto Pistol
tag_rifle.semiauto,Semi Auto Rifle
tag_door.hinged.metal,Sheet Metal Door
tag_pants.shorts,Shorts
tag_sleepingbag,Sleeping Bag
tag_smg.2,SMG
tag_jacket.snow,Snow Jacket
tag_stonehatchet,Stone Hatchet
tag_stone.pickaxe,Stone Pickaxe
tag_shirt.tanktop,Tank Top
tag_smg.thompson,Thompson
tag_tshirt,TShirt
tag_shotgun.waterpipe,Waterpipe Shotgun
tag_box.wooden,Wooden Box
tag_door.hinged.wood,Wooden Door
any,Misc
